Nodes,Total Clients,Lost Clients,Lost Client Ratio (%),Lost Flow Ratio (%)
2,1,0,0.00,0.00
3,2,0,0.00,0.00
4,3,1,33.33,20.00
5,4,0,0.00,0.00
6,5,0,0.00,0.00
7,6,2,33.33,20.00
8,7,3,42.86,27.27
9,8,2,25.00,14.29
10,9,3,33.33,20.00
11,10,5,50.00,33.33
12,11,7,63.64,46.67
13,12,1,8.33,4.35
14,13,6,46.15,30.00
15,14,5,35.71,21.74
16,15,4,26.67,15.38
17,16,9,56.25,39.13
18,17,10,58.82,41.67
19,18,13,72.22,56.52
20,19,12,63.16,46.15
21,20,7,35.00,21.21
22,21,11,52.38,35.48
23,22,13,59.09,41.94
24,23,11,47.83,31.43
25,24,13,54.17,37.14
26,25,10,40.00,25.00
27,26,11,42.31,26.83
28,27,6,22.22,12.50
29,28,12,42.86,27.27
30,29,18,62.07,45.00
